,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,characteristic
9,890240255349198849,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,doggo
39,884162670584377345,2017-07-09,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo,12,10,Yogi,doggo
86,872967104147763200,2017-06-09,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo,12,10,,doggo
94,871515927908634625,2017-06-04,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo,12,10,Napolean,doggo
95,871102520638267392,2017-06-03,Never doubt a doggo 14/10,14,10,,doggo
104,869596645499047938,2017-05-30,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for,12,10,Scout,doggo
144,858843525470990336,2017-05-01,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge,13,10,,doggo
156,855851453814013952,2017-04-22,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for,13,10,,doggo
163,854010172552949760,2017-04-17,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs",11,10,,doggo
194,846514051647705089,2017-03-28,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon,13,10,Barney,doggo
201,845397057150107648,2017-03-24,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx",13,10,Mimosa,doggo
240,836753516572119041,2017-03-01,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10,12,10,Meera,doggo
252,834574053763584002,2017-02-23,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10,13,10,,doggo
256,834089966724603904,2017-02-21,DOGGO ON THE LOOSE I REPEAT DOGGO ON THE LOOSE 10/10,10,10,,doggo
263,832998151111966721,2017-02-18,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10",13,10,Rhino,doggo
270,832273440279240704,2017-02-16,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere,14,10,Smiley,doggo
271,832032802820481025,2017-02-16,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN",12,10,Miguel,doggo
272,831939777352105988,2017-02-15,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet,12,10,Emanuel,doggo
